rodada,grupo,primitiva,mu_bruta_ns,sigma_bruta_ns,cv_bruto_pct,mu_fil_ns,sigma_fil_ns,cv_fil_pct,status
3,tau_o,Subtração Int: var int - var int,49.16209077920608,130.3994242947419,265.24385401016445,-110.40651928807053,3.706420573857406,inf,REPROVADO
3,tau_o,Multiplicação Int: var int * var int,52.4070164190785,16.713079832709,31.890920290254666,-102.97636357011969,13.478000143104277,inf,REPROVADO
3,tau_o,Multiplicação Float: var float * var float,67.31581885044037,122.28174208696556,181.65379872841822,-92.17356249439987,12.355895810037675,inf,REPROVADO
3,tau_o,Divisão Float: var float / var float,54.830866303498986,42.14337044485785,76.86066860878415,-104.41220063699632,11.187480054369118,inf,REPROVADO
3,tau_o,Divisão Int (Piso): var int // var int,217.93338479862237,467.35907052058485,214.45042527671472,46.91288925721062,63.466531778902116,135.28591562743532,REPROVADO
3,tau_o,Módulo (Resto): var int % var int,64.56540924212865,70.40929200641914,109.051104659424,-97.13027272895323,12.512443615395878,inf,REPROVADO
3,F,math.sqrt(var float),247.8666283423081,801.6584910785455,323.42332505182634,57.05469210724387,51.92404555890148,91.00749410986482,REPROVADO
3,F,abs(var int),88.62352664365578,59.472710405353595,67.10713583367766,-72.17173866102944,21.066990234998254,inf,REPROVADO
3,F,len(lista_apoio),54.59096074718613,60.74461986437279,111.27230411951277,-104.7317483338065,10.911367949172966,inf,REPROVADO
3,F,"round(var float, 2)",513.5666603261294,494.9891551857767,96.38264969759614,316.9640158295181,133.57047166761447,42.14057905533875,REPROVADO
